Created as New Dataset,Sample 443 By YargerLab Date Thursday, February 27 2025
cm-1,%T
3650.00,98.43
3649.00,98.43
3648.00,98.43
3647.00,98.42
3646.00,98.42
3645.00,98.42
3644.00,98.42
3643.00,98.42
3642.00,98.42
3641.00,98.42
3640.00,98.41
3639.00,98.41
3638.00,98.41
3637.00,98.41
3636.00,98.41
3635.00,98.41
3634.00,98.42
3633.00,98.42
3632.00,98.41
3631.00,98.41
3630.00,98.40
3629.00,98.41
3628.00,98.42
3627.00,98.42
3626.00,98.42
3625.00,98.41
3624.00,98.40
3623.00,98.39
3622.00,98.39
3621.00,98.40
3620.00,98.40
3619.00,98.41
3618.00,98.41
3617.00,98.42
3616.00,98.42
3615.00,98.42
3614.00,98.42
3613.00,98.42
3612.00,98.42
3611.00,98.43
3610.00,98.43
3609.00,98.43
3608.00,98.44
3607.00,98.44
3606.00,98.45
3605.00,98.45
3604.00,98.45
3603.00,98.45
3602.00,98.45
3601.00,98.45
3600.00,98.45
3599.00,98.45
3598.00,98.46
3597.00,98.47
3596.00,98.47
3595.00,98.47
3594.00,98.47
3593.00,98.47
3592.00,98.47
3591.00,98.47
3590.00,98.47
3589.00,98.47
3588.00,98.47
3587.00,98.47
3586.00,98.47
3585.00,98.47
3584.00,98.48
3583.00,98.48
3582.00,98.48
3581.00,98.48
3580.00,98.48
3579.00,98.48
3578.00,98.48
3577.00,98.49
3576.00,98.50
3575.00,98.51
3574.00,98.51
3573.00,98.51
3572.00,98.51
3571.00,98.51
3570.00,98.51
3569.00,98.51
3568.00,98.51
3567.00,98.51
3566.00,98.51
3565.00,98.52
3564.00,98.52
3563.00,98.52
3562.00,98.52
3561.00,98.52
3560.00,98.52
3559.00,98.52
3558.00,98.53
3557.00,98.53
3556.00,98.53
3555.00,98.52
3554.00,98.52
3553.00,98.51
3552.00,98.51
3551.00,98.52
3550.00,98.53
3549.00,98.54
3548.00,98.54
3547.00,98.54
3546.00,98.55
3545.00,98.55
3544.00,98.56
3543.00,98.56
3542.00,98.56
3541.00,98.56
3540.00,98.56
3539.00,98.56
3538.00,98.56
3537.00,98.57
3536.00,98.58
3535.00,98.58
3534.00,98.59
3533.00,98.59
3532.00,98.58
3531.00,98.58
3530.00,98.58
3529.00,98.59
3528.00,98.59
3527.00,98.59
3526.00,98.60
3525.00,98.60
3524.00,98.60
3523.00,98.59
3522.00,98.59
3521.00,98.59
3520.00,98.59
3519.00,98.60
3518.00,98.60
3517.00,98.60
3516.00,98.60
3515.00,98.60
3514.00,98.60
3513.00,98.60
3512.00,98.60
3511.00,98.60
3510.00,98.60
3509.00,98.60
3508.00,98.61
3507.00,98.60
3506.00,98.60
3505.00,98.60
3504.00,98.60
3503.00,98.61
3502.00,98.62
3501.00,98.63
3500.00,98.63
3499.00,98.63
3498.00,98.62
3497.00,98.62
3496.00,98.61
3495.00,98.61
3494.00,98.61
3493.00,98.61
3492.00,98.61
3491.00,98.61
3490.00,98.62
3489.00,98.62
3488.00,98.62
3487.00,98.62
3486.00,98.62
3485.00,98.62
3484.00,98.62
3483.00,98.62
3482.00,98.62
3481.00,98.61
3480.00,98.61
3479.00,98.61
3478.00,98.61
3477.00,98.61
3476.00,98.61
3475.00,98.61
3474.00,98.61
3473.00,98.60
3472.00,98.60
3471.00,98.59
3470.00,98.58
3469.00,98.58
3468.00,98.57
3467.00,98.57
3466.00,98.56
3465.00,98.55
3464.00,98.54
3463.00,98.53
3462.00,98.52
3461.00,98.52
3460.00,98.52
3459.00,98.52
3458.00,98.52
3457.00,98.52
3456.00,98.51
3455.00,98.50
3454.00,98.49
3453.00,98.47
3452.00,98.45
3451.00,98.44
3450.00,98.43
3449.00,98.42
3448.00,98.42
3447.00,98.41
3446.00,98.41
3445.00,98.40
3444.00,98.38
3443.00,98.36
3442.00,98.34
3441.00,98.32
3440.00,98.29
3439.00,98.26
3438.00,98.22
3437.00,98.18
3436.00,98.14
3435.00,98.10
3434.00,98.05
3433.00,98.00
3432.00,97.94
3431.00,97.87
3430.00,97.79
3429.00,97.71
3428.00,97.61
3427.00,97.51
3426.00,97.39
3425.00,97.27
3424.00,97.12
3423.00,96.96
3422.00,96.78
3421.00,96.57
3420.00,96.34
3419.00,96.09
3418.00,95.82
3417.00,95.53
3416.00,95.21
3415.00,94.87
3414.00,94.52
3413.00,94.16
3412.00,93.80
3411.00,93.45
3410.00,93.12
3409.00,92.82
3408.00,92.57
3407.00,92.35
3406.00,92.19
3405.00,92.08
3404.00,92.02
3403.00,92.02
3402.00,92.06
3401.00,92.15
3400.00,92.28
3399.00,92.43
3398.00,92.61
3397.00,92.81
3396.00,93.02
3395.00,93.23
3394.00,93.45
3393.00,93.66
3392.00,93.87
3391.00,94.07
3390.00,94.27
3389.00,94.46
3388.00,94.64
3387.00,94.82
3386.00,94.98
3385.00,95.13
3384.00,95.27
3383.00,95.40
3382.00,95.52
3381.00,95.63
3380.00,95.73
3379.00,95.82
3378.00,95.91
3377.00,95.99
3376.00,96.06
3375.00,96.12
3374.00,96.18
3373.00,96.23
3372.00,96.28
3371.00,96.33
3370.00,96.36
3369.00,96.39
3368.00,96.42
3367.00,96.45
3366.00,96.47
3365.00,96.50
3364.00,96.51
3363.00,96.53
3362.00,96.55
3361.00,96.56
3360.00,96.57
3359.00,96.57
3358.00,96.56
3357.00,96.54
3356.00,96.52
3355.00,96.51
3354.00,96.49
3353.00,96.47
3352.00,96.44
3351.00,96.40
3350.00,96.35
3349.00,96.30
3348.00,96.25
3347.00,96.20
3346.00,96.16
3345.00,96.12
3344.00,96.07
3343.00,96.02
3342.00,95.98
3341.00,95.94
3340.00,95.90
3339.00,95.86
3338.00,95.82
3337.00,95.78
3336.00,95.73
3335.00,95.68
3334.00,95.62
3333.00,95.57
3332.00,95.52
3331.00,95.46
3330.00,95.39
3329.00,95.33
3328.00,95.26
3327.00,95.18
3326.00,95.11
3325.00,95.04
3324.00,94.98
3323.00,94.93
3322.00,94.89
3321.00,94.87
3320.00,94.85
3319.00,94.84
3318.00,94.83
3317.00,94.83
3316.00,94.84
3315.00,94.84
3314.00,94.85
3313.00,94.86
3312.00,94.87
3311.00,94.89
3310.00,94.92
3309.00,94.95
3308.00,94.97
3307.00,94.99
3306.00,95.00
3305.00,95.00
3304.00,95.00
3303.00,94.99
3302.00,94.99
3301.00,94.99
3300.00,95.00
3299.00,95.02
3298.00,95.04
3297.00,95.05
3296.00,95.06
3295.00,95.07
3294.00,95.07
3293.00,95.07
3292.00,95.06
3291.00,95.05
3290.00,95.04
3289.00,95.01
3288.00,94.99
3287.00,94.97
3286.00,94.95
3285.00,94.92
3284.00,94.90
3283.00,94.87
3282.00,94.83
3281.00,94.80
3280.00,94.78
3279.00,94.76
