Created as New Dataset,Sample 447 By YargerLab Date Thursday, February 27 2025
cm-1,%T
4000.00,97.41
3999.00,97.42
3998.00,97.42
3997.00,97.42
3996.00,97.41
3995.00,97.41
3994.00,97.42
3993.00,97.42
3992.00,97.42
3991.00,97.42
3990.00,97.42
3989.00,97.41
3988.00,97.41
3987.00,97.41
3986.00,97.41
3985.00,97.41
3984.00,97.41
3983.00,97.41
3982.00,97.41
3981.00,97.41
3980.00,97.42
3979.00,97.42
3978.00,97.42
3977.00,97.42
3976.00,97.41
3975.00,97.41
3974.00,97.41
3973.00,97.41
3972.00,97.42
3971.00,97.42
3970.00,97.41
3969.00,97.41
3968.00,97.40
3967.00,97.40
3966.00,97.40
3965.00,97.41
3964.00,97.42
3963.00,97.43
3962.00,97.43
3961.00,97.43
3960.00,97.43
3959.00,97.43
3958.00,97.43
3957.00,97.43
3956.00,97.43
3955.00,97.43
3954.00,97.43
3953.00,97.43
3952.00,97.44
3951.00,97.46
3950.00,97.49
3949.00,97.52
3948.00,97.55
3947.00,97.56
3946.00,97.56
3945.00,97.56
3944.00,97.54
3943.00,97.51
3942.00,97.49
3941.00,97.48
3940.00,97.49
3939.00,97.50
3938.00,97.50
3937.00,97.51
3936.00,97.53
3935.00,97.57
3934.00,97.60
3933.00,97.61
3932.00,97.59
3931.00,97.56
3930.00,97.54
3929.00,97.53
3928.00,97.52
3927.00,97.50
3926.00,97.48
3925.00,97.47
3924.00,97.46
3923.00,97.49
3922.00,97.55
3921.00,97.60
3920.00,97.64
3919.00,97.66
3918.00,97.66
3917.00,97.65
3916.00,97.60
3915.00,97.56
3914.00,97.52
3913.00,97.50
3912.00,97.47
3911.00,97.44
3910.00,97.43
3909.00,97.44
3908.00,97.46
3907.00,97.48
3906.00,97.53
3905.00,97.63
3904.00,97.75
3903.00,97.89
3902.00,97.99
3901.00,98.02
3900.00,97.97
3899.00,97.88
3898.00,97.79
3897.00,97.73
3896.00,97.69
3895.00,97.66
3894.00,97.60
3893.00,97.56
3892.00,97.54
3891.00,97.55
3890.00,97.60
3889.00,97.67
3888.00,97.78
3887.00,97.85
3886.00,97.84
3885.00,97.78
3884.00,97.75
3883.00,97.78
3882.00,97.81
3881.00,97.80
3880.00,97.76
3879.00,97.73
3878.00,97.74
3877.00,97.77
3876.00,97.78
3875.00,97.74
3874.00,97.67
3873.00,97.65
3872.00,97.72
3871.00,97.83
3870.00,97.87
3869.00,97.83
3868.00,97.82
3867.00,97.86
3866.00,97.91
3865.00,97.88
3864.00,97.81
3863.00,97.79
3862.00,97.82
3861.00,97.84
3860.00,97.82
3859.00,97.75
3858.00,97.63
3857.00,97.51
3856.00,97.44
3855.00,97.45
3854.00,97.52
3853.00,97.64
3852.00,97.77
3851.00,97.87
3850.00,97.93
3849.00,97.92
3848.00,97.88
3847.00,97.82
3846.00,97.79
3845.00,97.77
3844.00,97.77
3843.00,97.77
3842.00,97.78
3841.00,97.79
3840.00,97.81
3839.00,97.82
3838.00,97.83
3837.00,97.83
3836.00,97.83
3835.00,97.83
3834.00,97.85
3833.00,97.86
3832.00,97.84
3831.00,97.81
3830.00,97.79
3829.00,97.77
3828.00,97.77
3827.00,97.75
3826.00,97.72
3825.00,97.72
3824.00,97.78
3823.00,97.86
3822.00,97.89
